terrace_id,terrace_lat,terrace_lon,date,time_slot,is_sunlit,sun_altitude,sun_azimuth,h_terrace,distance_to_obstacle,obstruction_height,ray_height_at_obstacle,obstruction_lat,obstruction_lon
"20 RUE DU RUISSEAU, 75018",48.89239476464042,2.3400338076129286,2025-05-12,11:30,False,48.80975189249294,125.79976160017071,61.67822265625,3.0,73.6787109375,65.10627214200079,48.89237916673325,2.3400671909819017
"20 RUE DU RUISSEAU, 75018",48.89239476464042,2.3400338076129286,2025-05-12,12:00,False,52.56177182559658,135.36705483240502,61.67822265625,3.0,73.443359375,65.59663865739607,48.89237572504613,2.3400627950505357
"20 RUE DU RUISSEAU, 75018",48.89239476464042,2.3400338076129286,2025-05-12,12:30,False,55.684786153676775,146.30564172221682,61.67822265625,3.0,73.3310546875,66.0735506939651,48.89237244395497,2.3400567892480053
"20 RUE DU RUISSEAU, 75018",48.89239476464042,2.3400338076129286,2025-05-12,13:00,False,57.97310454393976,158.65188314285047,61.67822265625,3.0,73.1865234375,66.47421515544329,48.892369719973395,2.340049019893374
"20 RUE DU RUISSEAU, 75018",48.89239476464042,2.3400338076129286,2025-05-12,13:30,False,59.225548641811855,172.12931806785764,61.67822265625,3.0,72.5546875,66.71587545175309,48.8923680718478,2.3400397489126927
"20 RUE DU RUISSEAU, 75018",48.89239476464042,2.3400338076129286,2025-05-12,14:00,False,59.307801477076616,186.08576401739302,61.67822265625,3.0,71.8173828125,66.73236601192727,48.89236791496358,2.3400298101481765
"20 RUE DU RUISSEAU, 75018",48.89239476464042,2.3400338076129286,2025-05-12,14:30,False,58.21051159362405,199.67435741709744,61.67822265625,3.0,71.0205078125,66.51870998510768,48.892369285843856,2.3400203551972014
"20 RUE DU RUISSEAU, 75018",48.89239476464042,2.3400338076129286,2025-05-12,15:00,True,56.05386140720118,212.19978364502478,61.67822265625,,,,,
"20 RUE DU RUISSEAU, 75018",48.89239476464042,2.3400338076129286,2025-05-12,15:30,True,53.03417229271084,223.33393762866473,61.67822265625,,,,,
"20 RUE DU RUISSEAU, 75018",48.89239476464042,2.3400338076129286,2025-05-12,16:00,False,49.35936182048161,233.0795135766043,61.67822265625,13.0,80.2666015625,76.82382910777032,48.892323758538765,2.339892959359331
"20 RUE DU RUISSEAU, 75018",48.89239476464042,2.3400338076129286,2025-05-12,16:30,False,45.210482417674,241.61862184167592,61.67822265625,11.0,79.822265625,72.75934046297169,48.89234701735034,2.3399024198865743
"20 RUE DU RUISSEAU, 75018",48.89239476464042,2.3400338076129286,2025-05-12,17:00,False,40.73105164517668,249.18739395964042,61.67822265625,11.0,76.822265625,71.15009213041422,48.89235884468849,2.339894026870101
"20 RUE DU RUISSEAU, 75018",48.89239476464042,2.3400338076129286,2025-05-12,17:30,False,36.03096079838596,256.0115667833626,61.67822265625,9.0,71.357421875,68.22453880514408,48.892374544471934,2.3399149558233328
